"HOUSEHOLD DATA
ANNUAL AVERAGES
39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2024,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
"Surveyors, cartographers, and photogrammetrists",37,–,27,–,10,–
Aerospace engineers,187,"2,303",162,"2,294",25,–
Agricultural engineers,2,–,2,–,0,–
Bioengineers and biomedical engineers,19,–,13,–,6,–
Chemical engineers,72,"2,005",58,"2,077",14,–
Civil engineers,471,"1,850",398,"1,899",73,"1,552"
Computer hardware engineers,79,"2,287",68,"2,311",11,–
Electrical and electronics engineers,266,"2,179",233,"2,271",33,–
Environmental engineers,33,–,23,–,10,–
"Industrial engineers, including health and safety",258,"1,878",191,"1,921",67,"1,652"
Marine engineers and naval architects,22,–,20,–,2,–
Materials engineers,39,–,32,–,7,–
Mechanical engineers,370,"2,009",325,"2,085",45,–
"Mining and geological engineers, including mining safety engineers",5,–,3,–,1,–
Nuclear engineers,8,–,8,–,0,–
Petroleum engineers,22,–,19,–,3,–
"Engineers, all other",668,"1,944",557,"2,007",111,"1,773"
Architectural and civil drafters,38,–,36,–,3,–
Other drafters,71,"1,353",62,"1,358",8,–
Electrical and electronic engineering technologists and technicians,86,"1,437",83,"1,443",3,–
"Other engineering technologists and technicians, except drafters",339,"1,278",273,"1,322",66,"1,077"
Surveying and mapping technicians,39,–,34,–,6,–
"Life, physical, and social science occupations","1,539","1,611",780,"1,755",759,"1,518"
Agricultural and food scientists,26,–,15,–,10,–
Biological scientists,92,"1,493",45,–,47,–
Conservation scientists and foresters,20,–,12,–,8,–
Medical scientists,125,"1,901",60,"1,977",65,"1,881"
"Life scientists, all other",4,–,2,–,1,–
Astronomers and physicists,18,–,13,–,5,–
Atmospheric and space scientists,5,–,5,–,0,–
Chemists and materials scientists,83,"2,093",51,"2,402",31,–
"Environmental scientists and specialists, including health",43,–,17,–,26,–
"Geoscientists and hydrologists, except geographers",25,–,18,–,6,–
"Physical scientists, all other",432,"1,804",232,"1,914",199,"1,729"
Economists,30,–,17,–,13,–
Survey researchers,1,–,0,–,1,–
Clinical and counseling psychologists,8,–,0,–,8,–
School psychologists,44,–,5,–,40,–
Other psychologists,60,"1,998",15,–,45,–
Sociologists,3,–,1,–,2,–
Urban and regional planners,39,–,16,–,23,–
Miscellaneous social scientists and related workers,28,–,13,–,15,–
Agricultural and food science technicians,35,–,22,–,13,–
Biological technicians,22,–,8,–,15,–
Chemical technicians,59,"1,233",37,–,22,–
Environmental science and geoscience technicians,20,–,13,–,7,–
Nuclear technicians,8,–,6,–,1,–
Social science research assistants,6,–,2,–,4,–
"Other life, physical, and social science technicians",240,"1,180",109,"1,285",131,"1,133"
Occupational health and safety specialists and technicians,64,"1,421",43,–,21,–
Community and social service occupations,"2,390","1,163",770,"1,186","1,619","1,155"
Substance abuse and behavioral disorder counselors,99,"1,122",32,–,67,"1,104"
"Educational, guidance, and career counselors and advisors",332,"1,191",78,"1,157",254,"1,225"
Marriage and family therapists,13,–,1,–,12,–
Mental health counselors,114,"1,257",31,–,83,"1,270"
Rehabilitation counselors,8,–,3,–,5,–
"Counselors, all other",178,"1,151",56,"1,483",122,"1,033"
"Child, family, and school social workers",68,"1,019",16,–,52,"1,002"
Healthcare social workers,70,"1,173",12,–,58,"1,238"
Mental health and substance abuse social workers,9,–,2,–,7,–
"Social workers, all other",702,"1,227",121,"1,235",580,"1,225"
Probation officers and correctional treatment specialists,65,"1,218",25,–,40,–
Social and human service assistants,206,"1,034",58,"1,056",148,"1,024"
Other community and social service specialists,90,"1,134",28,–,62,"1,026"
Clergy,332,"1,155",261,"1,159",71,"1,140"
"Directors, religious activities and education",58,"1,161",24,–,33,–
"Religious workers, all other",47,–,22,–,25,–
Legal occupations,"1,434","1,904",613,"2,475",821,"1,580"
Lawyers,851,"2,505",460,"2,857",391,"2,296"
Judicial law clerks,18,–,8,–,10,–
"Judges, magistrates, and other judicial workers",51,"2,307",28,–,23,–
Paralegals and legal assistants,380,"1,189",76,"1,409",303,"1,156"
"Title examiners, abstractors, and searchers",75,"1,314",19,–,56,"1,018"
"Legal support workers, all other",60,"1,428",22,–,38,–
"Education, training, and library occupations","7,540","1,217","2,087","1,414","5,453","1,146"
Postsecondary teachers,874,"1,821",459,"1,898",415,"1,680"
Preschool and kindergarten teachers,468,831,18,–,451,822
Elementary and middle school teachers,"3,268","1,253",752,"1,384","2,516","1,226"
Secondary school teachers,824,"1,365",337,"1,415",486,"1,346"
Special education teachers,273,"1,170",38,–,235,"1,183"
Tutors,30,–,8,–,21,–
Other teachers and instructors,553,"1,157",240,"1,299",312,"1,040"
"Archivists, curators, and museum technicians",55,"1,293",31,–,24,–
Librarians and media collections specialists,145,"1,109",22,–,123,"1,046"
Library technicians,17,–,4,–,12,–
Teaching assistants,893,725,149,880,744,716
Other educational instruction and library workers,141,"1,261",29,–,113,"1,173"
"Arts, design, entertainment, sports, and media occupations","1,827","1,413",930,"1,516",897,"1,302"
Artists and related workers,91,"1,483",59,"1,502",33,–
Commercial and industrial designers,11,–,5,–,6,–
Fashion designers,26,–,10,–,17,–
Floral designers,18,–,3,–,16,–
Graphic designers,192,"1,305",79,"1,430",113,"1,224"
Interior designers,64,"1,224",15,–,49,–
Merchandise displayers and window trimmers,37,–,13,–,24,–
Other designers,303,"1,568",186,"1,825",117,"1,367"
Actors,20,–,9,–,11,–
Producers and directors,129,"1,760",62,"1,483",66,"1,898"
Athletes and sports competitors,12,–,12,–,0,–
Coaches and scouts,122,"1,039",73,"1,216",49,–
"Umpires, referees, and other sports officials",4,–,4,–,0,–
Dancers and choreographers,5,–,1,–,4,–
Music directors and composers,16,–,11,–,5,–
Musicians and singers,20,–,14,–,6,–
"Disc jockeys, except radio",10,–,9,–,1,–
"Entertainers and performers, sports and related workers, all other",13,–,5,–,8,–
Broadcast announcers and radio disc jockeys,19,–,15,–,4,–
"News analysts, reporters, and journalists",58,"1,420",30,–,28,–
Public relations specialists,96,"1,878",28,–,68,"1,743"
Editors,87,"1,347",29,–,58,"1,263"
Technical writers,59,"1,643",27,–,32,–
Writers and authors,113,"1,618",44,–,69,"1,609"
Interpreters and translators,49,–,10,–,40,–
Court reporters and simultaneous captioners,22,–,8,–,14,–
"Media and communication workers, all other",22,–,6,–,17,–
"Broadcast, sound, and lighting technicians",78,"1,507",73,"1,625",5,–
Photographers,65,"1,255",52,"1,268",13,–
"Television, video, and film camera operators and editors",65,"1,728",42,–,23,–
"Media and communication equipment workers, all other",1,–,0,–,1,–
Healthcare practitioners and technical occupations,"7,965","1,472","1,988","1,773","5,976","1,400"
Chiropractors,18,–,13,–,5,–
Dentists,70,"2,281",45,–,25,–
Dietitians and nutritionists,86,"1,350",5,–,81,"1,348"
Optometrists,7,–,1,–,6,–
Pharmacists,258,"2,477",111,"2,582",148,"2,320"
Emergency medicine physicians,18,–,11,–,6,–
Radiologists,19,–,15,–,4,–
Other physicians,724,"3,429",388,"3,506",336,"3,167"
Surgeons,35,–,25,–,10,–
Physician assistants,159,"2,333",48,–,111,"2,209"
Podiatrists,4,–,3,–,1,–
Audiologists,23,–,2,–,21,–
Occupational therapists,110,"1,633",16,–,94,"1,617"
Physical therapists,217,"1,584",95,"1,732",122,"1,535"
Radiation therapists,9,–,1,–,8,–
Recreational therapists,6,–,1,–,5,–
Respiratory therapists,66,"1,420",14,–,51,"1,400"
Speech-language pathologists,156,"1,525",7,–,149,"1,453"
Exercise physiologists,3,–,3,–,0,–
"Therapists, all other",227,"1,265",46,–,181,"1,237"
Veterinarians,67,"2,503",24,–,43,–
Registered nurses,"2,895","1,507",432,"1,761","2,463","1,476"
Nurse anesthetists,19,–,5,–,14,–
Nurse midwives,11,–,0,–,11,–
Nurse practitioners,225,"2,183",32,–,193,"2,117"
Acupuncturists,1,–,0,–,1,–
"Healthcare diagnosing or treating practitioners, all other",6,–,1,–,5,–
Clinical laboratory technologists and technicians,287,"1,228",82,"1,363",205,"1,155"
Dental hygienists,107,"1,438",7,–,100,"1,419"
Cardiovascular technologists and technicians,55,"1,411",17,–,38,–
Diagnostic medical sonographers,75,"1,558",12,–,62,"1,568"
Radiologic technologists and technicians,197,"1,318",71,"1,465",125,"1,228"
Magnetic resonance imaging technologists,32,–,11,–,21,–
Nuclear medicine technologists and medical dosimetrists,42,–,19,–,24,–
Emergency medical technicians,140,982,88,"1,021",51,868
Paramedics,81,"1,548",64,"1,578",17,–
Pharmacy technicians,253,888,50,885,202,889
Psychiatric technicians,95,768,19,–,75,765
Surgical technologists,91,"1,224",31,–,60,"1,167"
Veterinary technologists and technicians,110,824,12,–,98,876
Dietetic technicians and ophthalmic medical technicians,58,806,18,–,40,–
Licensed practical and licensed vocational nurses,424,"1,021",50,"1,150",374,"1,010"
