"HOUSEHOLD DATA
ANNUAL AVERAGES
39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2024,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
Precision instrument and equipment repairers,49,–,46,–,3,–
Wind turbine service technicians,8,–,8,–,0,–
"Coin, vending, and amusement machine servicers and repairers",27,–,22,–,5,–
Commercial divers,5,–,5,–,0,–
Locksmiths and safe repairers,36,–,36,–,0,–
Manufactured building and mobile home installers,4,–,4,–,0,–
Riggers,14,–,13,–,1,–
"Helpers--installation, maintenance, and repair workers",20,–,18,–,2,–
"Other installation, maintenance, and repair workers",150,"1,014",143,"1,093",7,–
,,,,,,
"Production, transportation, and material moving occupations","15,842",891,"12,226",946,"3,616",746
Production occupations,"7,093",922,"5,187",989,"1,906",767
First-line supervisors of production and operating workers,732,"1,253",561,"1,335",172,982
"Aircraft structure, surfaces, rigging, and systems assemblers",2,–,2,–,0,–
"Electrical, electronics, and electromechanical assemblers",103,886,52,912,51,808
Engine and other machine assemblers,8,–,8,–,0,–
Structural metal fabricators and fitters,22,–,21,–,1,–
Other assemblers and fabricators,870,866,555,928,315,767
Bakers,155,719,62,767,92,669
"Butchers and other meat, poultry, and fish processing workers",204,836,167,862,37,–
"Food and tobacco roasting, baking, and drying machine operators and tenders",6,–,5,–,1,–
Food batchmakers,69,851,32,–,37,–
Food cooking machine operators and tenders,7,–,5,–,2,–
"Food processing workers, all other",130,813,94,814,37,–
Computer numerically controlled tool operators and programmers,90,"1,118",87,"1,101",3,–
"Forming machine setters, operators, and tenders, metal and plastic",22,–,19,–,4,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",43,–,36,–,7,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",38,–,35,–,4,–
"Other machine tool setters, operators, and tenders, metal and plastic",8,–,6,–,1,–
Machinists,279,"1,083",270,"1,090",10,–
"Metal furnace operators, tenders, pourers, and casters",13,–,11,–,2,–
"Model makers and patternmakers, metal and plastic",0,–,0,–,0,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",21,–,18,–,4,–
Tool and die makers,33,–,33,–,0,–
"Welding, soldering, and brazing workers",510,"1,013",483,"1,019",27,–
Other metal workers and plastic workers,290,884,234,913,56,724
Prepress technicians and workers,15,–,10,–,5,–
Printing press operators,109,970,86,"1,008",23,–
Print binding and finishing workers,13,–,11,–,2,–
Laundry and dry-cleaning workers,77,635,14,–,64,622
"Pressers, textile, garment, and related materials",21,–,15,–,5,–
Sewing machine operators,92,701,32,–,60,662
Shoe and leather workers,8,–,7,–,1,–
"Tailors, dressmakers, and sewers",16,–,3,–,13,–
"Textile machine setters, operators, and tenders",17,–,5,–,12,–
Upholsterers,10,–,9,–,1,–
"Other textile, apparel, and furnishings workers",3,–,1,–,2,–
Cabinetmakers and bench carpenters,32,–,28,–,4,–
Furniture finishers,16,–,11,–,5,–
"Sawing machine setters, operators, and tenders, wood",19,–,19,–,0,–
"Woodworking machine setters, operators, and tenders, except sawing",14,–,10,–,4,–
Other woodworkers,15,–,15,–,0,–
"Power plant operators, distributors, and dispatchers",37,–,29,–,7,–
Stationary engineers and boiler operators,86,"1,500",80,"1,483",5,–
Water and wastewater treatment plant and system operators,102,"1,038",94,"1,076",8,–
Miscellaneous plant and system operators,50,"1,465",48,–,2,–
"Chemical processing machine setters, operators, and tenders",44,–,40,–,4,–
"Crushing, grinding, polishing, mixing, and blending workers",77,891,63,894,14,–
Cutting workers,53,812,43,–,10,–
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",17,–,12,–,5,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",10,–,10,–,0,–
"Inspectors, testers, sorters, samplers, and weighers",723,957,457,"1,034",266,831
Jewelers and precious stone and metal workers,15,–,7,–,8,–
Dental and ophthalmic laboratory technicians and medical appliance technicians,51,931,21,–,29,–
Packaging and filling machine operators and tenders,282,731,133,782,148,703
Painting workers,141,996,124,"1,029",16,–
Photographic process workers and processing machine operators,24,–,17,–,7,–
Adhesive bonding machine operators and tenders,6,–,5,–,1,–
Etchers and engravers,1,–,0,–,0,–
"Molders, shapers, and casters, except metal and plastic",16,–,13,–,3,–
"Paper goods machine setters, operators, and tenders",12,–,9,–,2,–
Tire builders,6,–,6,–,0,–
Helpers--production workers,41,–,23,–,18,–
Other production equipment operators and tenders,5,–,4,–,1,–
Other production workers,"1,162",890,876,921,286,763
Transportation and material moving occupations,"8,750",862,"7,039",910,"1,710",723
Supervisors of transportation and material moving workers,299,"1,167",226,"1,276",74,902
Aircraft pilots and flight engineers,150,"2,311",132,"2,307",18,–
Air traffic controllers and airfield operations specialists,28,–,25,–,3,–
Flight attendants,88,"1,064",20,–,68,996
"Ambulance drivers and attendants, except emergency medical technicians",25,–,16,–,8,–
"Bus drivers, school",98,922,44,–,54,799
"Bus drivers, transit and intercity",202,931,138,"1,001",65,821
Driver/sales workers and truck drivers,"2,765","1,043","2,591","1,062",174,771
Shuttle drivers and chauffeurs,50,858,39,–,11,–
Taxi drivers,225,762,193,785,31,–
"Motor vehicle operators, all other",146,815,115,871,31,–
Locomotive engineers and operators,40,–,37,–,3,–
Railroad conductors and yardmasters,51,"1,544",51,"1,549",1,–
Other rail transportation workers,17,–,15,–,2,–
Sailors and marine oilers,19,–,19,–,0,–
Ship and boat captains and operators,29,–,26,–,3,–
Ship engineers,2,–,2,–,0,–
Parking attendants,36,–,34,–,2,–
Transportation service attendants,57,729,46,–,11,–
Transportation inspectors,42,–,39,–,3,–
Passenger attendants,18,–,4,–,15,–
Other transportation workers,31,–,16,–,16,–
Crane and tower operators,47,–,44,–,2,–
"Conveyor, dredge, and hoist and winch operators",26,–,23,–,3,–
Industrial truck and tractor operators,582,850,531,863,52,799
Cleaners of vehicles and equipment,227,756,193,760,34,–
"Laborers and freight, stock, and material movers, hand","1,721",792,"1,352",821,368,706
Machine feeders and offbearers,21,–,13,–,9,–
"Packers and packagers, hand",508,705,227,721,281,687
Stockers and order fillers,"1,055",718,698,726,357,704
Pumping station operators,13,–,10,–,2,–
Refuse and recyclable material collectors,82,830,76,866,6,–
Other material moving workers,48,–,42,–,6,–
,,,,,,
"NOTE: Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,
